"Gene","NR3C1"
"C9orf156",0.037314439
"C9orf19",-0.994389389
"C9orf3",-0.894111876
"C9orf30",0.147904942
"C9orf40",0.109736563
"C9orf5",-0.095513064
"C9orf64",0.006079668
"C9orf72",-0.141723909
"C9orf78",0.205295263
"C9orf91",-0.081274415
"C9orf94",-0.059476263
"CA10",-0.016093733
"CA11",0.047605741
"CA12",0.256218743
"CA2",-1.669302313
"CA4",-0.264683503
"CA5B",-0.022337257
"CA6",-0.026415943
"CA7",-0.435212368
"CAB39",-0.208306492
"CABC1",0.223146654
"CABIN1",-0.007819996
"CABLES2",0.054866277
"CABP7",-0.098745571
"CACHD1",-0.276386236
"CACNA1C",-0.020205303
"CACNA2D2",-0.309673314
"CACNA2D3",-0.402200215
"CACNG4",-0.237043736
"CACNG7",-0.27944603
"CACNG8",-0.305584968
"CACYBP",0.02848846
"CAD",-0.342767975
"CALB2",-0.144585108
"CALCA",-0.732969225
"CALCOCO1",0.494891546
"CALCOCO2",-0.11577691
"CALD1",1.455951943
"CALM2",0.005609552
"CALML4",-0.535704226
"CALR",-0.003178489
"CAMK2A",-0.256648434
"CAMK2B",-0.30552256
"CAMK2D",-0.587606358
"CAMK2N1",0.495665355
"CAMKK2",1.709227364
"CAMKV",-0.086673831
"CAMSAP1",0.03572906
"CAMTA1",-0.233216081
"CAMTA2",-0.120215438
"CAND1",0.162670891
"CAND2",0.111594854
"CANX",-0.134523453
"CAP1",0.032714382
"CAP2",-0.032675415
"CAPN12",-0.38577634
"CAPN2",-0.125599235
"CAPN5",-0.265461683
"CAPNS2",0.023133419
"CARD10",-0.31134287
"CARD11",-0.16665463
"CARHSP1",-0.139768665
"CARKL",1.026052262
"CARS",-0.16536116
"CART1",-0.411565429
"CASC5",0.280798703
"CASK",-0.073270481
"CASP1",-0.940237598
"CASP4",-0.047067537
"CASP6",0.094060283
"CASP8",0.103957453
"CASP8AP2",-0.207695668
"CASP9",-0.189024541
"CASZ1",-0.264434811
"CAT",2.739616136
"CAV2",0.306071942
"CBFA2T2",0.07329097
"CBFA2T3",-0.023600772
"CBFB",-0.250705965
"CBLB",0.091868333
"CBLC",1.81478922
"CBLN2",-0.010286985
"CBR1",-0.706612603
"CBR4",-0.126162565
"CBS",-0.338764419
"CBX3",0.029400092
"CBX4",-0.387561758
"CBX5",-0.182756272
"CBX6",-0.270453451
"CBX7",-0.067009549
"CBX8",-0.017818329
"CC2D1A",0.823873591
"CC2D1B",-0.083092934
"CCAR1",-0.076464363
"CCBL1",0.552121555
"CCDC100",0.024515553
"CCDC101",-0.0516105
"CCDC106",-0.139111043
"CCDC113",-0.596206988
"CCDC120",0.203503525
"CCDC126",-0.415131683
"CCDC131",-0.389814328
"CCDC15",0.17336515
"CCDC21",0.243595941
"CCDC25",0.099963266
"CCDC28B",-1.071724601
"CCDC3",1.071068382
"CCDC59",0.233145304
"CCDC6",-0.082486657
"CCDC68",0.088536901
"CCDC74B",0.5388476
"CCDC79",-0.200673412
"CCDC8",1.792104974
"CCDC84",0.979286457
"CCDC85B",-1.658173248
"CCDC86",-0.195188195
"CCDC93",-0.195562644
"CCDC94",-0.181794386
"CCDC98",0.039059843
"CCDC99",-0.50974872
"CCHCR1",0.104510404
"CCL20",-0.520142776
"CCL3L3",-0.79198414
"CCL5",-0.396857767
"CCNA2",-0.141038644
"CCNB1IP1",0.308853846
"CCNB2",-0.172436086
"CCNC",0.835810655
"CCND1",0.354450535
"CCND2",-0.375551667
"CCND3",0.065829137
"CCNE1",0.355340348
"CCNE2",-0.154175831
"CCNF",-0.155972905
"CCNG1",-0.074230425
"CCNG2",-1.613663045
"CCNH",0.152388357
"CCNJ",0.003565993
"CCNK",-0.179229425
"CCNL1",-0.230549322
"CCNL2",-0.248013925
"CCNT2",-0.105787559
"CCPG1",-0.059716337
"CCR1",-0.443164535
"CCR10",-0.56009934
"CCR4",-0.088416177
"CCR5",-0.049211066
"CCRL1",0.993412773
"CCRN4L",0.060295546
"CCT2",0.006198655
"CD14",-0.083354097
"CD163L1",0.177604591
"CD164",-0.416306534
"CD1A",-0.143772273
"CD2",-0.51337545
"CD248",-0.125613859
"CD27",-0.247869196
"CD274",0.065496176
"CD33L3",0.181427667
"CD44",-0.17782318
"CD53",-0.084238348
"CD55",-1.949793898
"CD59",-0.372461855
"CD6",-0.018405073
"CD63",-0.07393671
"CD69",-0.025325948
"CD70",0.172730263
"CD74",-0.121895152
"CD80",-0.172838403
"CD82",-0.194582964
"CD86",-0.264782877
"CD99",-0.123777472
"CD99L2",-0.020188006
"CDADC1",0.036864682
"CDC16",-0.195900336
"CDC23",-0.5811789
"CDC25A",-0.970922085
"CDC2L1",-0.444756603
"CDC2L2",0.011814685
"CDC34",-0.109236084
"CDC37",-0.062173643
"CDC42BPG",-0.210515969
"CDC42EP1",0.532965038
"CDC42EP2",-0.203411348
"CDC42EP3",-0.846553886
"CDC42EP5",-0.330792976
"CDC42SE1",-0.358181482
"CDC45L",-0.48523229
"CDC5L",-0.020367544
"CDC6",-0.438377526
"CDC7",-3.99162469
"CDCA2",-0.002473449
"CDCA3",0.284966505
"CDCA4",-0.452231018
"CDCA5",-0.268845347
"CDCA7",-0.244141045
"CDCA7L",0.542144892
"CDCA8",-0.124949206
"CDCP1",-0.427774209
"CDH1",0.247488793
"CDH11",0.61559034
"CDH13",-0.913258842
"CDH15",-0.509278064
"CDH22",-0.068286245
"CDK2",-0.078707392
"CDK2AP1",0.127198264
"CDK2AP2",0.531746045
"CDK5R1",-0.466166869
"CDK5R2",-0.739488405
"CDK5RAP1",-0.805543052
"CDK5RAP3",-0.142829039
"CDK7",0.044268197
"CDK8",-0.281577083
"CDK9",-0.052510199
"CDKN1B",-0.648003174
"CDKN1C",2.213047131
"CDKN2A",0.694672921
"CDKN2B",-1.587370857
"CDRT1",0.186371109
"CDRT15",-0.024056283
"CDSN",-0.124619566
"CDV3",2.725830111
"CDX1",0.071112826
"CDX2",-0.04285276
"CDX4",-0.219477782
"CDYL",-0.61480984
"CDYL2",0.082594616
"CEACAM19",0.128996633
"CEACAM4",-0.427125318
"CEBPA",0.170197922
"CEBPB",-0.559590318
"CEBPD",0.118147332
"CEBPE",-0.352543795
"CEBPG",0.177094149
"CEBPZ",-0.184294897
"CELSR2",-0.089649708
"CEND1",-0.443096034
"CENPA",-0.063740403
"CENPB",0.029698984
"CENPE",-0.130197196
"CENPF",-0.184184781
"CENPI",-0.086812592
"CENPJ",-2.571991408
"CENPK",0.439529064
"CENPN",0.102693761
"CENPO",0.108796923
"CENPQ",0.613674625
"CENPT",-0.049162928
"CENTA1",-0.213466179
"CENTA2",0.288504424
"CENTB5",-0.39255438
"CEP152",0.052724312
"CEP250",0.177919462
"CEP55",-0.137523694
"CEP68",0.087027277
"CEP72",-0.010781415
"CERK",0.266013697
"CES2",-0.386888438
"CFDP1",2.223927644
"CFHR2",-0.028240783
"CFL1",-0.247267571
"CFL2",-0.350491119
"CFLAR",0.179649936
"CFTR",-0.080645781
"CG018",0.0170587
"CGGBP1",-0.044013777
"CGN",-0.136033377
"CHAC1",0.728298425
"CHAF1A",-1.329760618
"CHAF1B",-1.418774021
"CHCHD8",-0.141805792
"CHD1",-0.076772228
"CHD2",-0.03124195
"CHD3",0.123903025
"CHD4",-0.076827194
"CHD5",0.126171147
"CHD6",0.035384308
"CHD7",0.207161019
"CHD8",-0.039194692
"CHD9",-0.147528642
