"Gene","RORA"
"CCNJ",-0.623456427
"CCNK",-0.315107776
"CCNL1",-0.992878839
"CCNL2",-0.118839498
"CCNT2",-0.358789763
"CCPG1",-0.139413769
"CCR1",-0.518314801
"CCR10",-0.259585063
"CCR4",0.469106973
"CCR5",0.052676997
"CCRL1",0.063112633
"CCRN4L",0.157195076
"CCT2",0.027580744
"CD14",0.19497373
"CD163L1",0.158559458
"CD164",2.360645869
"CD1A",0.078055583
"CD2",-0.408421528
"CD248",0.689271694
"CD27",-0.045220325
"CD274",0.113090302
"CD33L3",0.746880584
"CD44",-0.194537727
"CD53",0.34617517
"CD55",-0.322839402
"CD59",-0.301960292
"CD6",-0.256592083
"CD63",-0.078936348
"CD69",0.000655139
"CD70",0.036248118
"CD74",-0.381304022
"CD80",0.247230702
"CD82",-0.310199454
"CD86",-1.664065961
"CD99",-0.090739853
"CD99L2",0.000226766
"CDADC1",0.037155131
"CDC16",0.134115331
"CDC23",-1.36925108
"CDC25A",0.918206445
"CDC2L1",0.134330662
"CDC2L2",0.011205183
"CDC34",-0.61319492
"CDC37",-0.192212634
"CDC42BPG",-0.122805778
"CDC42EP1",0.180223688
"CDC42EP2",0.100687849
"CDC42EP3",-0.933933866
"CDC42EP5",-0.398911209
"CDC42SE1",-0.617751386
"CDC45L",-0.273799466
"CDC5L",0.066693865
"CDC6",0.497564924
"CDC7",-3.515780621
"CDCA2",-0.267927561
"CDCA3",0.081308349
"CDCA4",-0.941903831
"CDCA5",-0.015609886
"CDCA7",-0.666495233
"CDCA7L",-2.3917772
"CDCA8",0.005046963
"CDCP1",-0.409463303
"CDH1",-0.045247258
"CDH11",0.183241089
"CDH13",0.37059143
"CDH15",0.010309513
"CDH22",-0.040541875
"CDK2",-0.42742555
"CDK2AP1",0.285634752
"CDK2AP2",0.600627235
"CDK5R1",-0.104627778
"CDK5R2",1.559968413
"CDK5RAP1",0.486819353
"CDK5RAP3",-0.065357992
"CDK7",0.078381819
"CDK8",-0.114462739
"CDK9",-0.172235656
"CDKN1B",-0.741858155
"CDKN1C",-0.396243111
"CDKN2A",-1.457000408
"CDKN2B",-0.368477581
"CDRT1",0.532021039
"CDRT15",0.094694166
"CDSN",1.486304435
"CDV3",-2.761577002
"CDX1",0.431919977
"CDX2",-0.007557502
"CDX4",0.111279455
"CDYL",-1.047504139
"CDYL2",0.110373996
"CEACAM19",-0.107485489
"CEACAM4",-0.538803814
"CEBPA",-1.23266284
"CEBPB",-0.665973773
"CEBPD",-0.332929938
"CEBPE",-0.12216383
"CEBPG",-0.258607379
"CEBPZ",0.236548368
"CELSR2",0.028766106
"CEND1",-0.37698061
"CENPA",-1.222006387
"CENPB",0.496490231
"CENPE",-2.063796122
"CENPF",0.007745448
"CENPI",-0.367858743
"CENPJ",1.790510563
"CENPK",-1.214051096
"CENPN",-0.393622311
"CENPO",-0.115405515
"CENPQ",-0.197915522
"CENPT",-0.18504286
"CENTA1",-0.038987982
"CENTA2",3.170017291
"CENTB5",-0.384461892
"CEP152",-0.163670821
"CEP250",0.116279329
"CEP55",-0.014541189
"CEP68",-0.01565321
"CEP72",-0.182389596
"CERK",-0.26184986
"CES2",0.830821901
"CFDP1",-1.245409454
"CFHR2",-0.009872175
"CFL1",-0.133102848
"CFL2",-1.279971251
"CFLAR",0.203074257
"CFTR",-0.049351524
"CG018",-0.01420996
"CGGBP1",-0.067204215
"CGN",0.333251849
"CHAC1",-0.000927653
"CHAF1A",-0.849896832
"CHAF1B",-2.293383104
"CHCHD8",-0.307358759
"CHD1",-0.156629135
"CHD2",-0.017983369
"CHD3",-0.104070642
"CHD4",0.46031186
"CHD5",0.214787607
"CHD6",0.215143515
"CHD7",0.482373551
"CHD8",-0.161882227
"CHD9",-0.075055128
"CHEK1",1.220025672
"CHERP",-0.509085234
"CHES1",-0.208165346
"CHI3L2",0.05441714
"CHIC2",-0.048831281
"CHML",-1.327586635
"CHMP1B",1.08650965
"CHMP2A",-0.133839739
"CHMP2B",0.224003453
"CHMP5",0.143071436
"CHODL",-0.221553696
"CHORDC1",-1.411173111
"CHRD",-0.34537104
"CHRM1",0.068594117
"CHRNA1",-0.107892623
"CHRNA3",-0.225998023
"CHRNA4",-0.219180262
