"Gene","CBX4_Over"
"AQP10",-2.6201
"AQP11",0
"AQP12A",0
"AQP2",0
"AQP2",0
"AQP3",-2.3526
"AQP3",-2.3526
"AQP4",0
"AQP5",-3.3399
"AQP6",-1.6883
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-4.6569
"AQR",0
"AR",0
"ARAF",0
"ARAP1",-1.6491
"ARAP2",0
"ARAP3",-1.9037
"ARC",1.9847
"ARC20",0
"ARCN1",1.4726
"AREG",0
"AREL1",0
"ARF1",1.5098
"ARF3",1.4655
"ARF4",1.6647
"ARF5",0
"ARF6",-1.558
"ARFGAP1",1.6461
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0
"ARFGEF2",1.6149
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",1.7421
"ARFRP1",0
"ARG1",-1.6165
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-3.4027
"ARHGAP11A",-3.4027
"ARHGAP11A",-3.4027
"ARHGAP11B",0
"ARHGAP12",0
"ARHGAP15",0
"ARHGAP17",1.6795
"ARHGAP18",0
"ARHGAP19",-2.8207
"ARHGAP20",0
"ARHGAP21",0
"ARHGAP22",0
"ARHGAP23",0
"ARHGAP24",0
"ARHGAP24",0
"ARHGAP25",0
