"Gene","CEBPG"
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",1.0254
"AK2",-1.5009
"AK3",-0.0143
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",0.4368
"AK5",0.3438
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",0.6264
"AKAP13",0.964
"AKAP13",-0.3618
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-0.123
"AKAP8",0
"AKAP8L",-0.5385
"AKAP9",-0.7296
"AKAP9",0.0819
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",-0.2373
"AK0.0D1",0
"AKR1A1",-0.1412
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",-0.1452
"AKR1C1",2.332
"AKR1C1",1.9138
"AKR1C2",0
"AKR1C3",-0.2844
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",-0.2708
"AKT3",0.043
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",-0.1429
"ALDH1A3",-0.5036
"ALDH1B1",-0.7491
"ALDH1B1",-0.3806
"ALDH1L1",0
"ALDH1L2",-0.0201
"ALDH2",0
"ALDH3A1",-0.2633
"ALDH3A2",-0.1913
"ALDH3B1",0
"ALDH3B2",-0.5189
"ALDH4A1",0.2724
"ALDH4A1",0.2994
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",-0.0169
"ALDH7A1",0.2342
"ALDH8A1",0
"ALDH9A1",-1.0425
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",0.6236
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-0.9686
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-1.2332
"ALG9",-0.8597
"ALK",0.2052
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.3322
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.6316
"ALMS1",-0.0567
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",-0.3417
"ALOX5",0
"ALOX5AP",-0.1409
"ALOX5AP",0.0391
"ALOXE3",-0.1371
"alpha-CP1",0
"ALPI",-0.1827
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.2615
"ALS2CR13",-0.2713
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",-0.1697
"ALS2CR8",0.1831
"ALX1",0
"ALX3",0.0083
"ALX4",0
"ALYREF",0
"AMAC1L2",0.0151
"AMACR",-0.7623
"AMBN",0
"AMBP",0
