"Gene","MAFB1"
"ALG5",-0.0908
"ALG6",0.0166
"ALG8",0
"ALG9",0
"ALG9",0
"ALK",0.0172
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0
"ALMS1",0
"ALOX12",0.0642
"ALOX12B",0.2169
"ALOX12E",-0.0258
"ALOX12P2",0
"ALOX15",-0.0463
"ALOX15B",-0.2162
"ALOX5",0
"ALOX5AP",0
"ALOX5AP",0
"ALOXE3",0.0909
"alpha-CP1",-0.0099
"ALPI",0.0404
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0.034
"ALPPL2",0
"ALR",0.0014
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0
"ALS2CR13",0
"ALS2CR2",-0.1391
"ALS2CR4",0
"ALS2CR8",0
"ALS2CR8",0
"ALX1",0
"ALX3",-0.0384
"ALX4",0.013
"ALYREF",0
"AMAC1L2",0
"AMACR",0
"AMBN",-0.005
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",-0.0178
"AMELY",0.0074
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.0224
"AMHR2",-0.002
"AMIGO1",0
"AMIGO2",0
"AMIGO3",0
"AML1",-0.0084
"AML1 delta-N",0.0061
"AML1AMP19 fusion",0.0089
"AML1EAP",-0.0192
"AMMECR1",0
"AMMECR1L",0
"AMN",-0.0509
"AMN1",0
"AMOT",0
"AMOT",0
"AMOTL1",0
"AMOTL2",0
"AMPD1",0
"AMPD2",0
"AMPD3",0.135
"AMPD3",0.135
"AMPH",0
"AMPK gamma2",-0.0317
"AMT",0
"AMT",0
"AMTN",0
"AMY1A",0.0295
"AMY2A",0
"AMY2B",0
"AMZ1",0
"AMZ2",0
"A0.0PC1",0
"A0.0PC10",0
"A0.0PC11",0
"A0.0PC13",0
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",0
"A0.0PC5",0
"A0.0PC7",0
"A0.0PC7",0
"ANG",0
"ANG-3",-0.0235
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",-0.047
"ANGPTL3",0.0213
"ANGPTL4",0
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0.1716
"ANK1",-0.0559
"ANK2",0
"ANK3",0.1049
"ANK3",0.1049
"ANKAR",0
"ANKDD1A",0
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0.0976
"ANKH",0.0976
"ANKHD1",0
"ANKHD1",0
"ANKHD1",0
"ANKHD1-EIF4EBP3",0
"ANKHZN",-0.0109
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0
"ANKRA2",0.0603
"ANKRD1",0
"ANKRD10",0
"ANKRD10",0
"ANKRD11",0
"ANKRD12",0
"ANKRD12",0
"ANKRD13A",0
"ANKRD13A",0
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0
"ANKRD15",0
"ANKRD16",0
"ANKRD17",0
"ANKRD17",0
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0.0213
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",0
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0
"ANKRD28",0
"ANKRD29",0
"ANKRD3",0.0189
"ANKRD30A",0
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",0
"ANKRD42",0
"ANKRD43",0
"ANKRD43",0
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0
"ANKRD47",0
"ANKRD49",0
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",-0.0135
"ANKUB1",0
"ANKZF1",0
"ANLN",0
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",0
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",-0.0156
"anti-colorectal carcinoma light chain",-0.0561
"ANTXR1",0
"ANTXR2",0
"ANTXR2",0
"ANX14",0.0233
"ANX3",-0.1646
"ANXA1",0
"ANXA10",0
"ANXA11",0
"ANXA11",0
"ANXA13",-0.0288
"ANXA2",0
"ANXA2P1",0
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0
"ANXA4",0
"ANXA5",0
"ANXA6",0
"ANXA7",0
"ANXA8",0
"ANXA8L1",0
"ANXA9",0
"AOAH",0
"AOC1",0
"AOC2",0.0749
"AOC3",0
"AOF1",0
"AOF1",0
"AOF2",0
"AOX",0.0363
"AOX1",0
"AP-2B",-0.0166
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",0
"AP1M1",0
"AP1M2",-0.128
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.025
"AP3B1",0
"AP3B2",0
"AP3D1",-0.0168
"AP3D1",-0.0168
"AP3M1",0
"AP3M2",0
"AP3S1",0
"AP3S2",0
"AP4",-0.0313
"AP4B1",-0.0194
"AP4E1",0.045
"AP4M1",0
"AP4S1",0
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",-0.0389
"APBA1",-0.0342
"APBA2",0
"APBA2",0
"APBA3",0
"APBB1",0
"APBB1",0
"APBB1IP",0
"APBB2",0
"APBB3",0
"APC",0.0386
"APC10",-0.0199
"APC2",-0.0718
"APCDD1",0
"APCDD1L",0
"APCS",-0.0136
"APE",-0.0733
"APEH",0
"APEX1",0
"APEX2",0
"apg-2",-0.0068
"APG5L",-0.0465
"APH1A",0
"APH1B",0
"API5",0.0283
"APIP",0
"APITD1",0
"APLF",0
"APLN",0
"APLN",0
"APLN",0
"APLNR",0
"APLP1",0
"APLP2",-0.0357
"APLP2",-0.0357
"APM1",-0.0044
"APMAP",0
"APMCF1",-0.0507
"APNH",-0.0332
"APOA1",0
"APOA1BP",0
"APOA2",0.0044
"APOA4",0.0026
"APOA4",0.0026
"APOA5",0
"apoargC",-0.0226
"APOARGC",-0.0774
"APOB",0
"APOB48R",-0.02
"APOBEC1",-0.0479
"APOBEC2",0
"APOBEC3A",0
"APOBEC3A_B",0
"APOBEC3B",0
"APOBEC3C",0
"APOBEC3D",0
"APOBEC3F",0
"APOBEC3G",0
"APOBEC3H",0
"APOBEC4",0
"APOC1",0
"APOC1",0
"APOC3",0
"APOC4",0.0183
"APOD",0
"APOE",0
"APOF",-0.0623
"APOH",0
"APOL1",0
"APOL2",-0.0357
"APOL3",0.0327
"APOL4",0
"APOL5",-0.0099
"APOL6",-0.0894
"APOL6",-0.0894
"APOL6",-0.0894
"APOLD1",0
"APOLIV",0.1113
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",0
"APPBP2",0
"APPBP2",0
"APPILS",0.0719
"APPL",0.0634
"APPL1",0
"APPL2",0
"42826.0000",-0.0455
"42827.0000",-0.0154
"42828.0000",-0.0382
"APRT",0
"APTX",0
"AQP1",0.0338
"AQP10",0
"AQP11",0
"AQP12A",0
"AQP2",0.0107
"AQP2",0.0107
"AQP3",0
"AQP3",0
"AQP4",-0.0122
"AQP5",0
"AQP6",-0.0233
"AQP7",-0.0228
"AQP7P1",0
"AQP7P3",0
"AQP8",0.0062
"AQP9",0
"AQR",0
"AR",-0.02
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",-0.0252
"ARC20",-0.0149
"ARCN1",0
"AREG",0
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0
"ARF5",0
"ARF6",0
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0
"ARFGEF2",0
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",0
"ARHGAP11A",0
"ARHGAP11A",0
"ARHGAP11B",0
"ARHGAP12",0
"ARHGAP15",0
"ARHGAP17",0
"ARHGAP18",0
"ARHGAP19",0
"ARHGAP20",0
"ARHGAP21",0
"ARHGAP22",0
"ARHGAP23",0
"ARHGAP24",0
"ARHGAP24",0
"ARHGAP25",0
"ARHGAP26",0
"ARHGAP27",0
"ARHGAP28",0
"ARHGAP29",0
"ARHGAP30",0
"ARHGAP31",0
"ARHGAP32",0
"ARHGAP33",0
"ARHGAP35",0
"ARHGAP36",0
