"Gene","PBX1"
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0.0597
"ANK3",0.2916
"ANKAR",0
"ANKDD1A",0.0335
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.326
"ANKH",0.3055
"ANKHD1",-0.4387
"ANKHD1",-5.3473
"ANKHD1",-1.6315
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.0771
"ANKRA2",0
"ANKRD1",0.0743
"ANKRD10",0.2712
"ANKRD10",0.2049
"ANKRD11",0
"ANKRD12",-0.0394
"ANKRD12",-0.0035
"ANKRD13A",-0.3116
"ANKRD13A",5.0741
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.1578
"ANKRD15",2.3772
"ANKRD16",0
"ANKRD17",0.3103
"ANKRD17",-0.6366
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.1967
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.3131
"ANKRD28",1.103
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.0912
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.3067
"ANKRD42",0
"ANKRD43",-0.1164
"ANKRD43",0.2032
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.2381
"ANKRD47",-0.0951
"ANKRD49",0.5556
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-0.4662
