"","Gene","KLF","ZNF","ACTL","GRHL","MLL2","SNAI2_Over","SNAI2_Knockdown","DMNT1","CBX4_Over","CBX4_Knockdown","MAFB1","MPZL3","FDXR","TINCR"
"9919","FUT6",0.030612379,0.018945004,-0.00139098071894782,NA,NA,-0.0510736470905123,-1.20518813195875,0.759020574234606,NA,NA,-0.0730533758085787,0.250574,0.2323145,0.192766005717077
"9920","FUT6",0.030612379,0.018945004,-0.00139098071894782,NA,NA,-0.0510736470905123,-1.20518813195875,0.759020574234606,NA,NA,-0.0730533758085787,0.250574,0.2323145,0.211070744938837
"9921","FUT6",0.030612379,0.018945004,-0.00139098071894782,NA,NA,-0.0510736470905123,-1.20518813195875,0.759020574234606,NA,NA,-0.0730533758085787,0.250574,0.2323145,0.124643625231564
"9922","FUT6",0.030612379,0.018945004,-0.00139098071894782,NA,NA,-0.0510736470905123,-1.20518813195875,0.759020574234606,NA,NA,-0.0730533758085787,0.250574,0.2323145,0.14186900363495
"9923","FUT7",NA,NA,NA,-0.232869132951898,-0.222748739599431,NA,NA,NA,NA,NA,NA,0.724934,0,NA
"9924","FUT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487405,0.845853251,NA
"9925","FUT9",-0.039957181,-0.210888011,0.418601586013534,NA,NA,-3.35846308792095,-3.76350441122674,0.024269729894895,NA,NA,-0.00864885733781193,0.0372225,0,0.0318044064750698
"9926","FUZ",NA,NA,NA,NA,NA,NA,NA,NA,-1.575367233,NA,NA,0,0,NA
"9927","FXC1",0.037603364,0.001858383,-0.00512675574634563,NA,NA,-0.774815559094108,-0.0331823854047704,0.332784170582244,NA,NA,-0.0292556970488681,NA,NA,-0.0295673893588186
"9928","FXN",NA,NA,NA,-0.0922872057501015,-0.0254251347293704,NA,NA,NA,NA,NA,NA,0.567411,1.0556525,NA
"9929","FXR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36175,0,NA
"9930","FXR2",NA,NA,NA,NA,NA,NA,NA,NA,1.809358369,NA,NA,16.3346,6.99325,NA
"9931","FXYD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.016,0,NA
"9932","FXYD2",0.016163503,-0.003725006,0.0050425216799681,NA,NA,-1.70057477963833,-1.09376649854333,0.10325114090658,NA,NA,-0.0064598757168749,5.046,0,0.054122490052982
"9933","FXYD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.600819731,NA,461.011,49.08495,NA
"9934","FXYD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4127,0,NA
"9935","FXYD5",-0.295976238,-0.015519293,-0.00992001139003507,NA,NA,-1.26729076811449,0.366115235733275,-0.760127057712536,1.64295192475,NA,-0.312377226124227,7.5877,5.0875875,-0.220338509519052
"9936","FXYD6",-0.094989932,-0.015927659,-0.0360091624515101,NA,NA,-0.775545824880188,0.150111197024321,0.103211659923738,NA,NA,0.0137674249662326,26.5966,0.126444,0.154979395619346
"9937","FXYD7",0.114010231,-0.078959768,-0.0679817937573593,NA,NA,-2.50096583977786,-0.220714463617345,-0.21884986146688,NA,NA,0.00660010326657067,5.97526,0.4034615,0.158159127558519
"9938","FY",-0.005236359,-0.014355935,0.00461843113540572,NA,NA,-0.370079809746078,-0.361122028256127,0.196578784161752,NA,NA,-0.00147088750756792,NA,NA,0.0167221618680649
"9939","FYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51331,0,NA
"9940","FYCO1",0.000427776,0.003385477,0.00752461957905446,NA,NA,-0.246919039189342,-0.0722776472571492,0.406572265525246,NA,NA,0.120500953762971,4.3978,4.21201,0.561156435389945
"9941","FYN",NA,NA,NA,0.083264155227409,-0.00522033456615954,NA,NA,NA,NA,NA,NA,3.16362,15.9935,NA
"9942","FYR",0.012115157,-0.001725565,0.00223214378394086,NA,NA,-0.484459281480626,-0.0779379733945554,-0.227769632224451,NA,NA,-0.0658965546786447,NA,NA,0.131997753927717
"9943","FYTTD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69693,5.2313805,NA
"9944","FZD1",NA,NA,NA,0.075790528672675,-0.150471098740824,NA,NA,NA,NA,NA,NA,10.7963,8.98298,NA
"9945","FZD10",-0.169167282,0.043730969,-0.0450313850890718,NA,NA,0.939829404452686,-1.04624911076712,-0.653244415298261,NA,NA,0.489688668388284,1.52263,7.07117,1.05484612608239
"9946","FZD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03721,1.115345,NA
"9947","FZD3",0.037465385,-0.002000792,-0.0443823814366465,0.15395990525642,0.698318393839465,0.129837160727423,-0.173000474680285,-0.351153821397623,NA,NA,0.0406652634363874,0.848306,0.608995,-0.244159690036053
"9948","FZD4",0.029685118,0.050825816,0.013455709543662,NA,NA,-0.00300504177146099,-0.151758287509736,-0.0400068113729774,NA,NA,-0.0290591518212982,5.03101,0.074478,-0.214002084466694
