"Gene","ATF5"
"AP1M1",0.6005
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.0322
"AP3B1",0
"AP3B2",0
"AP3D1",-0.1992
"AP3D1",4.6329
"AP3M1",0
"AP3M2",-0.0592
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0.1128
"AP4E1",0
"AP4M1",0.3742
"AP4S1",-0.0357
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.2747
"APBA2",-0.1604
"APBA3",0
"APBB1",0.1515
"APBB1",-1.0071
"APBB1IP",0
"APBB2",1.5368
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",-0.4422
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.3997
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",-0.2848
"APLN",1.3877
"APLN",0.8699
"APLNR",0
"APLP1",0
"APLP2",-10.3187
"APLP2",-0.0551
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.0878
"APOA2",0
"APOA4",-0.2366
"APOA4",-0.2851
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.36
"APOBEC3A_B",0
"APOBEC3B",0.2601
"APOBEC3C",0.2148
"APOBEC3D",0
"APOBEC3F",0.2514
"APOBEC3G",-0.006
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.8498
"APOC1",0.7242
"APOC3",-0.2626
"APOC4",0.1327
"APOD",0
"APOE",-0.6515
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",-0.0192
"APOL6",-0.1104
"APOL6",-0.5132
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",1.6124
"APPBP2",-0.3129
"APPBP2",-0.3359
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.0981
"AQP2",-0.4881
"AQP2",-0.6211
"AQP3",0.2445
"AQP3",0.4118
"AQP4",0
"AQP5",0
"AQP6",0.1115
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.7851
"AQR",0
"AR",0.1223
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.002
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",0.0544
"ARF5",0
"ARF6",8.4791
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",1.3112
"ARFGEF2",-0.0775
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
