"Gene","RELB"
"CALCOCO1",0.310985376
"CALCOCO2",0.209924109
"CALD1",1.065054861
"CALM2",0.000191274
"CALML4",-0.87035321
"CALR",-0.133506825
"CAMK2A",-0.2792204
"CAMK2B",-0.025001213
"CAMK2D",-0.735697531
"CAMK2N1",0.214378327
"CAMKK2",-1.956410245
"CAMKV",-0.096232996
"CAMSAP1",-0.047729779
"CAMTA1",0.093383173
"CAMTA2",-0.032875665
"CAND1",-0.054451328
"CAND2",0.066638872
"CANX",-0.08286616
"CAP1",0.101011035
"CAP2",0.286115663
"CAPN12",-0.474792919
"CAPN2",-0.192624954
"CAPN5",-0.210743963
"CAPNS2",0.468773242
"CARD10",-0.333561563
"CARD11",0.1702323
"CARHSP1",-0.168614321
"CARKL",-0.434137282
"CARS",-0.274632881
"CART1",0.136596825
"CASC5",0.171935606
"CASK",-0.236466759
"CASP1",0.274938904
"CASP4",-0.07888587
"CASP6",0.088313187
"CASP8",-0.540190752
"CASP8AP2",-0.118912469
"CASP9",0.09405176
"CASZ1",-0.030464508
"CAT",3.73227828
"CAV2",0.37817232
"CBFA2T2",0.067333475
"CBFA2T3",0.145343301
"CBFB",-0.166307484
"CBLB",0.067206678
"CBLC",-0.327164322
"CBLN2",-0.135312217
"CBR1",0.262718753
"CBR4",-0.231879056
"CBS",0.098213915
"CBX3",0.044474252
"CBX4",-0.520259429
"CBX5",-0.343538141
"CBX6",1.594245771
"CBX7",-0.023808749
"CBX8",0.093838927
"CC2D1A",0.639305905
"CC2D1B",0.084670954
"CCAR1",0.60135062
"CCBL1",0.102826221
"CCDC100",-0.02380645
"CCDC101",0.182935412
"CCDC106",0.400552409
"CCDC113",-0.891105557
"CCDC120",0.279503054
"CCDC126",-0.477416135
"CCDC131",0.481340706
"CCDC15",0.10306019
"CCDC21",0.480624666
"CCDC25",0.153540997
"CCDC28B",-0.479740911
"CCDC3",0.254437619
"CCDC59",0.356276185
"CCDC6",-0.017667623
"CCDC68",0.235553597
"CCDC74B",0.278984937
"CCDC79",-0.211245598
"CCDC8",1.618786938
"CCDC84",1.570522439
"CCDC85B",0.424495566
"CCDC86",-0.453056839
"CCDC93",-0.176554516
"CCDC94",0.478580283
"CCDC98",0.007558185
"CCDC99",-1.267291569
"CCHCR1",0.343573798
"CCL20",-0.229928188
"CCL3L3",-0.683592289
"CCL5",0.162738053
"CCNA2",-1.963481118
"CCNB1IP1",0.68478206
"CCNB2",0.001831052
"CCNC",1.154530312
"CCND1",-0.041110756
"CCND2",-0.797257059
"CCND3",-0.26684115
"CCNE1",0.039305897
"CCNE2",-0.151977805
"CCNF",0.110536574
"CCNG1",0.300163612
"CCNG2",0.675963185
"CCNH",-0.152034499
"CCNJ",-0.251459232
"CCNK",-0.276444095
"CCNL1",-0.926697432
"CCNL2",0.077104968
"CCNT2",-0.269075065
"CCPG1",-0.05394942
"CCR1",-0.562361988
"CCR10",-0.319537556
"CCR4",0.281973019
"CCR5",0.173989787
"CCRL1",0.135761569
"CCRN4L",0.188685555
"CCT2",0.025187336
"CD14",-0.131009745
"CD163L1",0.263799865
"CD164",0.068334461
"CD1A",0.020101858
"CD2",-0.399617738
"CD248",0.345294586
"CD27",0.438561558
"CD274",0.562688078
"CD33L3",0.686436998
"CD44",-0.037525693
"CD53",0.356572446
"CD55",-2.313188774
"CD59",-0.463636403
"CD6",0.036637893
