"Gene","FOS"
"ANKHD1",-0.2507
"ANKHD1",4.0829
"ANKHD1",-1.1134
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.4521
"ANKRA2",0
"ANKRD1",0.573
"ANKRD10",0.0752
"ANKRD10",0.0798
"ANKRD11",0
"ANKRD12",0.2416
"ANKRD12",0.0109
"ANKRD13A",0.0953
"ANKRD13A",-1.6734
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.0453
"ANKRD15",0.4811
"ANKRD16",0
"ANKRD17",1.7512
"ANKRD17",-0.691
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",0.0892
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0.2324
"ANKRD28",0.0391
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.2132
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.0877
"ANKRD42",0
"ANKRD43",-0.1233
"ANKRD43",0.2987
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.6914
"ANKRD47",0.0638
"ANKRD49",-0.0624
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0.0499
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",0.1007
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-1.5257
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.35
"ANTXR2",-1.4815
"ANX14",0
"ANX3",0
"ANXA1",-0.2223
"ANXA10",0
"ANXA11",0.4047
"ANXA11",0.0523
"ANXA13",0
"ANXA2",0
