"Gene","FOSB"
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",0.4748
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",0.9635
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.4017
"ANTXR2",-0.6589
"ANX14",0
"ANX3",0
"ANXA1",-0.1804
"ANXA10",0
"ANXA11",0.8746
"ANXA11",-0.0772
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.0048
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.0465
"ANXA4",0.1764
"ANXA5",0.0177
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0771
"ANXA8L1",0
"ANXA9",0.4509
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",0.0829
"AOF1",0.4066
"AOF2",-0.3549
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",0.1104
"AP1M1",0.8842
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.0793
"AP3B1",0
"AP3B2",0
"AP3D1",0.0587
"AP3D1",2.9522
"AP3M1",0
"AP3M2",-0.2582
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0.3777
"AP4E1",0
"AP4M1",0.416
"AP4S1",0.0038
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",0.2314
"APBA2",-0.1146
"APBA3",0
"APBB1",0.4127
"APBB1",-0.3909
"APBB1IP",0
"APBB2",-0.8973
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",1.5798
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.1023
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
